CDS,STYPE,SNAME,DNAME,CNAME,FLAG,API00,PCT_TEST,VALID_NUM,ST_RANK,SUM_RANK,GR_TARG,API_TARG,AA_NUM,AA_SIG,AA_API,AA_GT,AA_TARG,AI_NUM,AI_SIG,AI_API,AI_GT,AI_TARG,AS_NUM,AS_SIG,AS_API,AS_GT,AS_TARG,FI_NUM,FI_SIG,FI_API,FI_GT,FI_TARG,HI_NUM,HI_SIG,HI_API,HI_GT,HI_TARG,PI_NUM,PI_SIG,PI_API,PI_GT,PI_TARG,WH_NUM,WH_SIG,WH_API,WH_GT,WH_TARG,SD_NUM,SD_SIG,SD_API,SD_GT,SD_TARG,PCT_AA,PCT_AI,PCT_AS,PCT_FI,PCT_HI,PCT_PI,PCT_WH,MEALS,ELL,YR_RND,MOBILITY,ACS_K3,ACS_46,ACS_CORE,PCT_RESP,NOT_HSG,HSG,SOME_COL,COL_GRAD,GRAD_SCH,AVG_ED,FULL,EMER,ENROLL,IEP,PARENT_OPT,TESTED,SCI
01612340130054,H,Newark Memorial High,Newark Unified,Alameda,,640,96,1317,6,7,8,648,56,no,,,,14,no,,,,150,yes,670,6,676,130,yes,671,6,677,406,yes,568,6,574,49,no,,,,512,yes,692,6,698,319,yes,559,6,565,5,1,12,9,32,4,37,19,9,no,11,N/A,N/A,27,93,14,23,25,32,6,2.93,82,17,1606,26,1,1516,154.509623
01611760130062,H,American High,Fremont Unified,Alameda,,673,96,844,7,5,6,679,42,no,,,,6,no,,,,210,yes,692,5,697,56,no,,,,130,yes,563,5,568,11,no,,,,363,yes,714,5,719,177,yes,545,5,550,5,1,25,7,16,1,41,16,14,no,13,N/A,N/A,25,91,9,21,20,36,13,3.22,75,34,1009,28,0,942,159.735944
01751010130096,H,Foothill High,Pleasanton Unified,Alameda,,810,98,1207,10,8,#,#,18,no,,,,11,no,,,,128,yes,895,#,#,19,no,,,,64,no,,,,3,no,,,,959,yes,803,#,#,12,no,,,,1,1,11,2,5,0,79,1,0,no,6,N/A,N/A,28,1,18,9,18,18,36,3.45,97,1,1320,5,0,1298,172.119063
01612590130146,S,Far West (Cont.),Oakland Unified,Alameda,,484,91,53,,,16,500,30,yes,449,13,462,0,no,,,,5,no,,,,1,no,,,,12,no,,,,0,no,,,,3,no,,,,13,no,,,,49,0,8,2,22,0,6,11,13,no,56,N/A,N/A,20,89,20,21,16,34,9,2.91,100,0,74,0,5,63,
01612590130179,H,Street Academy (Alter),Oakland Unified,Alameda,,421,97,118,1,1,19,440,86,yes,402,15,417,1,no,,,,3,no,,,,0,no,,,,25,no,,,,0,no,,,,3,no,,,,52,yes,403,15,418,69,1,2,0,21,0,3,32,8,no,61,N/A,N/A,N/A,71,23,22,21,29,4,2.68,86,14,137,0,0,133,134.562960
01611190130229,H,Alameda High,Alameda City Unified,Alameda,,731,96,1090,9,5,3,734,39,no,,,,10,no,,,,414,yes,749,2,751,66,no,,,,96,no,,,,14,no,,,,414,yes,760,2,762,192,yes,655,2,657,4,1,38,6,9,1,38,14,16,no,9,N/A,N/A,25,91,6,16,22,38,18,3.45,85,16,1304,12,14,1227,166.621468
01612590130245,E,Arts (Alternative),Oakland Unified,Alameda,,667,95,110,5,2,7,674,51,yes,586,6,592,1,no,,,,9,no,,,,3,no,,,,20,no,,,,1,no,,,,23,no,,,,35,yes,600,6,606,43,1,7,2,16,1,20,29,10,no,33,18,28,25,87,6,12,22,42,19,3.56,89,11,134,0,6,122,165.601088
01611270130450,H,Albany High,Albany City Unified,Alameda,,789,92,515,10,5,1,790,33,no,,,,1,no,,,,177,yes,781,1,782,1,no,,,,41,no,,,,5,no,,,,203,yes,867,#,#,58,no,,,,8,0,34,0,8,1,37,9,7,no,8,N/A,N/A,28,95,4,9,12,39,36,3.94,93,9,660,11,15,589,175.084622
01612340130484,H,Crossroads High (Alter.),Newark Unified,Alameda,,415,76,101,1,1,19,434,11,no,,,,2,no,,,,2,no,,,,5,no,,,,34,yes,421,15,436,2,no,,,,45,yes,437,15,452,19,no,,,,11,2,2,6,34,2,42,0,2,no,50,N/A,N/A,N/A,70,25,20,31,20,5,2.60,83,17,167,0,8,122,149.710028
01612590130518,S,East Bay Conservation Corps Charter,Oakland Unified,Alameda,,348,89,89,,,23,371,56,yes,366,18,384,0,no,,,,5,no,,,,2,no,,,,4,no,,,,0,no,,,,0,no,,,,24,no,,,,65,0,5,2,4,0,0,0,0,no,0,N/A,N/A,N/A,64,42,27,10,22,0,2.12,100,0,105,0,0,94,
01611760130534,S,The Circle of Independent Learning,Fremont Unified,Alameda,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01751010130583,H,Amador Valley High,Pleasanton Unified,Alameda,,795,98,1264,10,7,1,796,33,no,,,,12,no,,,,129,yes,824,#,#,15,no,,,,90,no,,,,5,no,,,,974,yes,807,#,#,41,no,,,,3,1,11,1,7,0,76,3,0,no,6,N/A,N/A,28,2,4,11,19,37,30,3.78,99,1,1411,0,46,1342,171.034363
01613090130849,H,Arroyo High,San Lorenzo Unified,Alameda,,645,98,1026,6,3,8,653,39,no,,,,8,no,,,,165,yes,718,6,724,66,no,,,,246,yes,567,6,573,10,no,,,,491,yes,668,6,674,180,yes,557,6,563,6,1,15,7,26,1,45,13,7,no,9,N/A,N/A,27,71,8,23,35,29,6,3.00,89,11,1320,44,6,1257,158.497655
01611430131177,H,Berkeley High,Berkeley Unified,Alameda,,716,86,1567,8,8,4,720,499,yes,516,3,519,5,no,,,,163,yes,728,3,731,9,no,,,,175,yes,588,3,591,0,no,,,,626,yes,894,#,#,123,yes,496,3,499,34,0,10,1,10,0,39,3,8,no,40,N/A,N/A,26,76,6,9,18,29,37,3.83,90,9,2420,43,7,2057,161.415087
01612590132092,H,Castlemont Senior High,Oakland Unified,Alameda,,418,67,878,1,1,19,437,505,yes,399,15,414,1,no,,,,55,no,,,,3,no,,,,300,yes,427,15,442,8,no,,,,2,no,,,,526,yes,419,15,434,56,0,6,0,35,1,0,47,33,no,48,N/A,N/A,27,62,32,32,18,15,3,2.25,64,18,1605,45,0,1047,128.428977
01611500132225,H,Castro Valley High,Castro Valley Unified,Alameda,,741,100,1495,9,2,3,744,29,no,,,,17,no,,,,291,yes,825,#,#,38,no,,,,150,yes,641,2,643,16,no,,,,948,yes,739,2,741,117,yes,581,2,583,2,1,19,3,10,1,63,8,4,no,4,N/A,N/A,27,89,2,15,21,42,20,3.64,95,8,1714,17,4,1694,169.621632
01750930132704,H,Dublin High,Dublin Unified,Alameda,,701,95,646,8,2,5,706,24,no,,,,13,no,,,,72,no,,,,26,no,,,,70,no,,,,5,no,,,,436,yes,727,4,731,58,no,,,,4,2,11,4,11,1,66,8,3,no,8,N/A,N/A,26,80,3,14,28,40,16,3.51,87,11,788,25,2,726,165.721620
01611680132746,H,Emery High,Emery Unified,Alameda,,491,100,160,2,4,15,506,105,yes,487,12,499,1,no,,,,28,no,,,,1,no,,,,15,no,,,,1,no,,,,2,no,,,,49,yes,470,12,482,69,0,14,1,8,0,2,20,10,no,15,N/A,N/A,20,94,10,26,35,28,1,2.83,79,21,204,0,0,204,137.953773
