CDS,STYPE,SNAME,DNAME,CNAME,FLAG,PCT_TEST,API00,API99,TARGET,GROWTH,SCH_WIDE,COMP_IMP,BOTH,AWARDS,AA_NUM,AA_SIG,AA_API00,AA_API99,AA_TARG,AA_GROW,AA_MET,AI_NUM,AI_SIG,AI_API00,AI_API99,AI_TARG,AI_GROW,AI_MET,AS_NUM,AS_SIG,AS_API00,AS_API99,AS_TARG,AS_GROW,AS_MET,FI_NUM,FI_SIG,FI_API00,FI_API99,FI_TARG,FI_GROW,FI_MET,HI_NUM,HI_SIG,HI_API00,HI_API99,HI_TARG,HI_GROW,HI_MET,PI_NUM,PI_SIG,PI_API00,PI_API99,PI_TARG,PI_GROW,PI_MET,WH_NUM,WH_SIG,WH_API00,WH_API99,WH_TARG,WH_GROW,WH_MET,SD_NUM,SD_SIG,SD_API00,SD_API99,SD_TARG,SD_GROW,SD_MET,PCT_AA,PCT_AI,PCT_AS,PCT_FI,PCT_HI,PCT_PI,PCT_WH,MEALS,ELL,YR_RND,MOBILITY,ACS_K3,ACS_46,ACS_CORE,PCT_RESP,NOT_HSG,HSG,SOME_COL,COL_GRAD,GRAD_SCH,AVG_ED,FULL,EMER,ENROLL,IEP,PARENT_OPT,TESTED,API_STU
01612340130054,H,Newark Memorial High,Newark Unified,Alameda,,96,640,633,8,7,No,No,No,No,56,No,,,,,,14,No,,,,,,150,Yes,670,680,6,-10,No,130,Yes,671,686,6,-15,No,406,Yes,568,558,6,10,Yes,49,No,,,,,,512,Yes,692,685,6,7,Yes,319,Yes,559,527,6,32,Yes,5,1,12,9,32,4,37,19,9,No,11,N/A,N/A,27,93,14,23,25,32,6,2.93,82,17,1606,26,1,1516,1317
01611760130062,H,American High,Fremont Unified,Alameda,,96,673,646,8,27,Yes,Yes,Yes,Yes,42,No,,,,,,6,No,,,,,,210,Yes,692,650,6,42,Yes,56,No,,,,,,130,Yes,563,543,6,20,Yes,11,No,,,,,,363,Yes,714,684,6,30,Yes,177,Yes,545,496,6,49,Yes,5,1,25,7,16,1,41,16,14,No,13,N/A,N/A,25,91,9,21,20,36,13,3.22,75,34,1009,28,0,942,844
01751010130096,H,Foothill High,Pleasanton Unified,Alameda,,98,810,797,1,13,Yes,Yes,Yes,Yes,18,No,,,,,,11,No,,,,,,128,No,,,,,,19,No,,,,,,64,No,,,,,,3,No,,,,,,959,Yes,803,792,1,11,Yes,12,No,,,,,,1,1,11,2,5,0,79,1,0,No,6,N/A,N/A,28,1,18,9,18,18,36,3.45,97,1,1320,5,0,1298,1207
01611190130229,H,Alameda High,Alameda City Unified,Alameda,,96,731,693,5,38,Yes,Yes,Yes,Yes,39,No,,,,,,10,No,,,,,,414,Yes,749,717,4,32,Yes,66,No,,,,,,96,No,,,,,,14,No,,,,,,414,Yes,760,724,4,36,Yes,192,Yes,655,604,4,51,Yes,4,1,38,6,9,1,38,14,16,No,9,N/A,N/A,25,91,6,16,22,38,18,3.45,85,16,1304,12,14,1227,1090
01611270130450,H,Albany High,Albany City Unified,Alameda,,92,789,773,1,16,Yes,Yes,Yes,Yes,33,No,,,,,,1,No,,,,,,177,Yes,781,763,1,18,Yes,1,No,,,,,,41,No,,,,,,5,No,,,,,,203,Yes,867,872,*,-5,Yes,58,No,,,,,,8,0,34,0,8,1,37,9,7,No,8,N/A,N/A,28,95,4,9,12,39,36,3.94,93,9,660,11,15,589,515
01751010130583,H,Amador Valley High,Pleasanton Unified,Alameda,,98,795,788,1,7,Yes,Yes,Yes,Yes,33,No,,,,,,12,No,,,,,,129,Yes,824,836,*,-12,Yes,15,No,,,,,,90,No,,,,,,5,No,,,,,,974,Yes,807,798,1,9,Yes,41,No,,,,,,3,1,11,1,7,0,76,3,0,No,6,N/A,N/A,28,2,4,11,19,37,30,3.78,99,1,1411,0,46,1342,1264
01613090130849,H,Arroyo High,San Lorenzo Unified,Alameda,,98,645,642,8,3,No,No,No,No,39,No,,,,,,8,No,,,,,,165,Yes,718,703,6,15,Yes,66,No,,,,,,246,Yes,567,561,6,6,Yes,10,No,,,,,,491,Yes,668,671,6,-3,No,180,Yes,557,570,6,-13,No,6,1,15,7,26,1,45,13,7,No,9,N/A,N/A,27,71,8,23,35,29,6,3.00,89,11,1320,44,6,1257,1026
01611430131177,H,Berkeley High,Berkeley Unified,Alameda,,86,716,728,4,-12,No,No,No,No,499,Yes,516,561,3,-45,No,5,No,,,,,,163,Yes,728,754,3,-26,No,9,No,,,,,,175,Yes,588,600,3,-12,No,0,No,,,,,,626,Yes,894,901,*,-7,Yes,123,Yes,496,496,3,0,No,34,0,10,1,10,0,39,3,8,No,40,N/A,N/A,26,76,6,9,18,29,37,3.83,90,9,2420,43,7,2057,1567
01612590132092,H,Castlemont Senior High,Oakland Unified,Alameda,,67,418,433,18,-15,No,No,No,No,505,Yes,399,415,14,-16,No,1,No,,,,,,55,No,,,,,,3,No,,,,,,300,Yes,427,469,14,-42,No,8,No,,,,,,2,No,,,,,,526,Yes,419,437,14,-18,No,56,0,6,0,35,1,0,47,33,No,48,N/A,N/A,27,62,32,32,18,15,3,2.25,64,18,1605,45,0,1047,878
01611500132225,H,Castro Valley High,Castro Valley Unified,Alameda,,100,741,723,4,18,Yes,Yes,Yes,Yes,29,No,,,,,,17,No,,,,,,291,Yes,825,819,*,6,Yes,38,No,,,,,,150,Yes,641,633,3,8,Yes,16,No,,,,,,948,Yes,739,725,3,14,Yes,117,No,,,,,,2,1,19,3,10,1,63,8,4,No,4,N/A,N/A,27,89,2,15,21,42,20,3.64,95,8,1714,17,4,1694,1495
01750930132704,H,Dublin High,Dublin Unified,Alameda,,95,701,726,4,-25,No,No,No,No,24,No,,,,,,13,No,,,,,,72,No,,,,,,26,No,,,,,,70,No,,,,,,5,No,,,,,,436,Yes,727,766,3,-39,No,58,No,,,,,,4,2,11,4,11,1,66,8,3,No,8,N/A,N/A,26,80,3,14,28,40,16,3.51,87,11,788,25,2,726,646
01611680132746,H,Emery High,Emery Unified,Alameda,,100,491,443,18,48,Yes,Yes,Yes,Yes,105,Yes,487,430,14,57,Yes,1,No,,,,,,28,No,,,,,,1,No,,,,,,15,No,,,,,,1,No,,,,,,2,No,,,,,,49,Yes,470,428,14,42,Yes,69,0,14,1,8,0,2,20,10,No,15,N/A,N/A,20,94,10,26,35,28,1,2.83,79,21,204,0,0,204,160
01611190132878,H,Encinal High,Alameda City Unified,Alameda,,99,622,589,11,33,Yes,No,No,No,160,Yes,528,498,9,30,Yes,9,No,,,,,,195,Yes,642,638,9,4,No,132,Yes,609,588,9,21,Yes,92,No,,,,,,15,No,,,,,,191,Yes,734,668,9,66,Yes,243,Yes,590,542,9,48,Yes,23,1,21,14,11,2,23,20,18,No,13,N/A,N/A,27,84,11,20,29,31,9,3.06,90,10,1122,3,6,1106,840
01612590133132,H,Fremont Senior High,Oakland Unified,Alameda,,79,436,442,18,-6,No,No,No,No,401,Yes,412,395,14,17,Yes,2,No,,,,,,225,Yes,505,535,14,-30,No,11,No,,,,,,574,Yes,421,448,14,-27,No,10,No,,,,,,8,No,,,,,,763,Yes,432,446,14,-14,No,33,0,18,1,46,1,1,45,50,No,39,N/A,N/A,30,68,41,24,19,14,1,2.10,78,9,1618,0,1,1288,1237
01612000133397,H,Granada High,Livermore Valley Unified,Alameda,,98,759,760,2,-1,No,No,No,No,20,No,,,,,,3,No,,,,,,41,No,,,,,,31,No,,,,,,102,Yes,598,624,2,-26,No,5,No,,,,,,951,Yes,781,784,2,-3,No,80,No,,,,,,2,0,4,3,9,0,81,5,4,No,7,N/A,N/A,25,94,3,14,26,41,15,3.51,100,3,1301,7,1,1269,1165
01611920133629,H,Hayward High,Hayward Unified,Alameda,,100,582,586,11,-4,No,No,No,No,230,Yes,490,502,9,-12,No,8,No,,,,,,60,No,,,,,,31,No,,,,,,308,Yes,525,517,9,8,No,17,No,,,,,,326,Yes,670,684,9,-14,No,315,Yes,506,509,9,-3,No,23,1,5,3,33,2,31,30,18,No,9,N/A,N/A,24,67,10,20,31,32,8,3.07,83,14,1457,50,18,1393,1004
01611760134270,H,Irvington High,Fremont Unified,Alameda,,97,715,692,5,23,Yes,Yes,Yes,Yes,51,No,,,,,,7,No,,,,,,213,Yes,782,754,4,28,Yes,87,No,,,,,,183,Yes,613,584,4,29,Yes,12,No,,,,,,653,Yes,724,706,4,18,Yes,168,Yes,598,590,4,8,Yes,4,1,18,7,15,1,51,10,8,No,11,N/A,N/A,26,97,5,16,28,38,12,3.36,70,29,1412,40,0,1331,1236
01611760134452,H,Kennedy (John F.) High,Fremont Unified,Alameda,,98,692,689,6,3,No,Yes,No,No,42,No,,,,,,4,No,,,,,,210,Yes,726,713,5,13,Yes,80,No,,,,,,196,Yes,614,601,5,13,Yes,7,No,,,,,,356,Yes,726,719,5,7,Yes,251,Yes,595,586,5,9,Yes,4,0,23,8,21,1,38,20,22,No,8,N/A,N/A,24,96,12,22,22,34,9,3.05,78,22,1084,23,2,1046,936
01612000134536,H,Livermore High,Livermore Valley Unified,Alameda,,96,731,729,4,2,No,No,No,No,39,No,,,,,,4,No,,,,,,65,No,,,,,,24,No,,,,,,136,Yes,577,607,3,-30,No,4,No,,,,,,923,Yes,758,748,3,10,Yes,103,Yes,551,569,3,-18,No,3,0,6,2,12,0,76,6,5,No,9,N/A,N/A,26,92,4,14,31,33,18,3.47,100,1,1383,34,4,1301,1204
01612420134668,H,James Logan High,New Haven Unified,Alameda,,96,663,665,7,-2,No,No,No,No,250,Yes,585,608,6,-23,No,2,No,,,,,,596,Yes,696,705,6,-9,No,515,Yes,711,694,6,17,Yes,679,Yes,585,596,6,-11,No,41,No,,,,,,556,Yes,715,719,6,-4,No,682,Yes,561,567,6,-6,No,10,0,23,18,25,2,20,21,16,No,11,N/A,N/A,27,92,10,18,25,38,9,3.17,100,0,3273,40,1,3122,2654
01612590134791,H,McClymonds Senior High,Oakland Unified,Alameda,,62,385,386,21,-1,No,No,No,No,238,Yes,378,380,17,-2,No,0,No,,,,,,28,No,,,,,,2,No,,,,,,33,No,,,,,,0,No,,,,,,3,No,,,,,,172,Yes,382,382,17,0,No,76,0,9,1,12,0,1,49,14,No,42,N/A,N/A,21,70,17,36,24,22,1,2.52,76,17,616,0,0,385,306
01611760135244,H,Mission San Jose High,Fremont Unified,Alameda,,99,882,888,*,-6,Yes,Yes,Yes,No,15,No,,,,,,2,No,,,,,,851,Yes,907,915,*,-8,Yes,24,No,,,,,,48,No,,,,,,2,No,,,,,,653,Yes,862,871,*,-9,Yes,56,No,,,,,,1,0,53,1,3,0,40,2,4,No,5,N/A,N/A,26,99,2,5,11,38,44,4.18,89,20,1698,4,0,1687,1626
