CDS,STYPE,SNAME,DNAME,CNAME,FLAG,PCT_TEST,VALID_NUM,API01,ST_RANK,SIM_RANK,GR_TARG,API_TARG,AI_NUM,AI_SIG,AI_API,AI_GT,AI_TARG,AS_NUM,AS_SIG,AS_API,AS_GT,AS_TARG,AA_NUM,AA_SIG,AA_API,AA_GT,AA_TARG,FI_NUM,FI_SIG,FI_API,FI_GT,FI_TARG,HI_NUM,HI_SIG,HI_API,HI_GT,HI_TARG,PI_NUM,PI_SIG,PI_API,PI_GT,PI_TARG,WH_NUM,WH_SIG,WH_API,WH_GT,WH_TARG,SD_NUM,SD_SIG,SD_API,SD_GT,SD_TARG,PCT_AI,PCT_AS,PCT_AA,PCT_FI,PCT_HI,PCT_PI,PCT_WH,MEALS,EL,YR_RND,MOBILITY,ACS_K3,ACS_46,ACS_CORE,PCT_RESP,NOT_HSG,HSG,SOME_COL,COL_GRAD,GRAD_SCH,AVG_ED,FULL,EMER,ENROLL,IEP,PARENT_OPT,TESTED,SCI
01611190130229,H,Alameda High,Alameda City Unified,Alameda,,99,1129,723,8,4,4,727,5,No,,,,427,Yes,750,3,753,62,No,,,,57,No,,,,105,Yes,623,3,626,17,No,,,,447,Yes,752,3,755,194,Yes,666,3,669,1,37,6,5,10,2,39,14,15,No,9,N/A,N/A,26,94,6,15,23,38,18,3.48,88,8,1286,33,4,1242,166.403475
01611190132878,H,Encinal High,Alameda City Unified,Alameda,,98,885,632,5,9,8,640,8,No,,,,187,Yes,644,6,650,182,Yes,531,6,537,135,Yes,643,6,649,105,Yes,570,6,576,15,No,,,,253,Yes,720,6,726,321,Yes,577,6,583,1,21,22,15,11,2,28,34,17,No,44,N/A,N/A,26,87,10,20,30,31,9,3.09,83,18,1079,14,0,1050,151.991917
01611196000004,M,Chipman Middle,Alameda City Unified,Alameda,,99,506,614,4,5,9,623,11,No,,,,65,No,,,,147,Yes,544,7,551,74,No,,,,77,Yes,517,7,524,8,No,,,,116,Yes,696,7,703,271,Yes,556,7,563,2,15,29,13,14,2,24,53,25,No,21,N/A,28,27,92,10,24,28,30,8,3.03,88,23,604,0,0,599,153.546171
01611196090005,E,Lum (Donald D.) Elementary,Alameda City Unified,Alameda,,100,297,781,8,5,1,782,0,No,,,,115,Yes,831,A,A,26,No,,,,28,No,,,,25,No,,,,8,No,,,,83,Yes,756,1,757,81,Yes,767,1,768,0,40,8,10,9,3,27,24,25,No,17,18,28,N/A,92,2,21,30,29,18,3.40,96,4,330,3,0,328,174.650441
01611196090013,E,Edison Elementary,Alameda City Unified,Alameda,,99,222,829,9,4,A,A,1,No,,,,25,No,,,,13,No,,,,11,No,,,,15,No,,,,4,No,,,,149,Yes,848,A,A,26,No,,,,0,13,5,5,7,2,66,11,8,No,12,20,32,N/A,98,1,11,22,33,33,3.86,89,11,253,9,0,243,179.649776
01611196090021,E,Otis (Frank) Elementary,Alameda City Unified,Alameda,,100,249,778,8,4,1,779,1,No,,,,68,Yes,785,1,786,15,No,,,,17,No,,,,21,No,,,,5,No,,,,112,Yes,795,1,796,52,Yes,691,1,692,0,27,7,7,10,2,43,20,19,No,19,20,30,N/A,93,4,15,34,29,18,3.41,95,5,284,0,0,284,174.358418
01611196090039,E,Franklin Elementary,Alameda City Unified,Alameda,,100,167,800,8,6,A,A,2,No,,,,19,No,,,,11,No,,,,10,No,,,,21,No,,,,2,No,,,,102,Yes,855,A,A,41,Yes,634,1,635,1,11,6,6,13,1,61,23,11,No,9,20,30,N/A,99,3,30,21,23,23,3.33,87,7,176,0,1,175,174.112816
01611196090047,E,Haight Elementary,Alameda City Unified,Alameda,,99,335,716,6,7,4,720,4,No,,,,83,Yes,780,3,783,53,Yes,654,3,657,35,No,,,,67,Yes,642,3,645,5,No,,,,77,Yes,748,3,751,175,Yes,663,3,666,1,24,15,11,20,1,24,51,34,No,16,19,30,N/A,84,7,30,32,24,6,2.93,93,10,381,0,4,376,162.680814
01611196090054,M,Lincoln Middle,Alameda City Unified,Alameda,,99,768,797,9,1,1,798,4,No,,,,280,Yes,845,A,A,29,No,,,,38,No,,,,65,No,,,,5,No,,,,343,Yes,799,1,800,84,No,,,,0,37,4,5,10,1,44,10,10,No,12,N/A,27,27,93,3,10,20,37,29,3.79,95,5,864,33,2,828,178.956435
01611196090062,E,Longfellow Elementary,Alameda City Unified,Alameda,,98,213,670,5,6,7,677,3,No,,,,29,No,,,,72,Yes,605,6,611,60,Yes,744,6,750,20,No,,,,8,No,,,,21,No,,,,138,Yes,666,6,672,1,13,36,26,10,3,10,63,40,No,16,20,25,N/A,94,15,18,43,22,2,2.79,86,14,239,3,0,233,158.330260
01611196090088,E,Miller (George P.) Elementary,Alameda City Unified,Alameda,,100,108,666,5,3,7,673,3,No,,,,5,No,,,,26,No,,,,7,No,,,,18,No,,,,2,No,,,,43,Yes,692,6,698,55,Yes,628,6,634,3,3,24,5,15,1,45,43,3,No,35,18,28,N/A,91,15,14,41,22,8,2.94,82,12,161,7,0,154,162.581841
01611196090104,E,Washington Elementary,Alameda City Unified,Alameda,,100,312,656,5,1,7,663,5,No,,,,63,Yes,736,6,742,50,Yes,537,6,543,74,Yes,660,6,666,38,No,,,,1,No,,,,74,Yes,681,6,687,145,Yes,615,6,621,1,19,17,25,12,1,22,46,26,No,21,19,27,N/A,94,9,33,30,21,7,2.85,92,8,367,8,0,359,164.421989
01611196090112,M,Wood (Will C.) Middle,Alameda City Unified,Alameda,,99,686,700,6,2,5,705,4,No,,,,200,Yes,764,4,768,91,No,,,,62,No,,,,95,No,,,,19,No,,,,214,Yes,716,4,720,232,Yes,652,4,656,1,30,13,8,14,3,31,32,21,No,11,N/A,29,25,90,7,18,30,34,12,3.26,95,8,772,10,0,758,166.824839
01611196090120,E,Paden (William G.) Elementary,Alameda City Unified,Alameda,,100,260,806,9,2,A,A,2,No,,,,54,Yes,819,A,A,11,No,,,,34,No,,,,26,No,,,,3,No,,,,130,Yes,823,A,A,57,Yes,734,1,735,1,20,5,13,10,1,50,21,16,No,8,20,27,N/A,86,4,9,23,33,30,3.76,96,9,279,11,2,266,178.749689
01611196090138,E,Woodstock Elementary,Alameda City Unified,Alameda,,100,170,638,4,3,8,646,5,No,,,,35,Yes,749,6,755,75,Yes,565,6,571,19,No,,,,16,No,,,,2,No,,,,18,No,,,,123,Yes,619,6,625,3,21,43,10,10,1,12,71,26,No,21,21,24,N/A,92,9,30,34,21,6,2.85,84,5,203,4,0,199,158.052624
