CDS,STYPE,SNAME,DNAME,CNAME,FLAG,PCT_TEST,API01,API00,B1999,TARGET,GROWTH,SCH_WIDE,COMP_IMP,BOTH,AWARDS,AI_NUM,AI_SIG,AI_API01,AI_API00,AI_TARG,AI_GROW,AI_MET,AS_NUM,AS_SIG,AS_API01,AS_API00,AS_TARG,AS_GROW,AS_MET,AA_NUM,AA_SIG,AA_API01,AA_API00,AA_TARG,AA_GROW,AA_MET,FI_NUM,FI_SIG,FI_API01,FI_API00,FI_TARG,FI_GROW,FI_MET,HI_NUM,HI_SIG,HI_API01,HI_API00,HI_TARG,HI_GROW,HI_MET,PI_NUM,PI_SIG,PI_API01,PI_API00,PI_TARG,PI_GROW,PI_MET,WH_NUM,WH_SIG,WH_API01,WH_API00,WH_TARG,WH_GROW,WH_MET,SD_NUM,SD_SIG,SD_API01,SD_API00,SD_TARG,SD_GROW,SD_MET,PCT_AI,PCT_AS,PCT_AA,PCT_FI,PCT_HI,PCT_PI,PCT_WH,MEALS,EL,YR_RND,MOBILITY,ACS_K3,ACS_46,ACS_CORE,PCT_RESP,NOT_HSG,HSG,SOME_COL,COL_GRAD,GRAD_SCH,AVG_ED,FULL,EMER,ENROLL,IEP,PARENT_OPT,TESTED,API_STU
01612340130054,H,Newark Memorial High,Newark Unified,Alameda,,98,618,640,No,8,-22,No,No,No,No,17,No,,,,,,184,Yes,672,670,6,2,No,71,No,,,,,,134,Yes,641,671,6,-30,No,455,Yes,545,568,6,-23,No,37,No,,,,,,544,Yes,676,692,6,-16,No,310,Yes,530,559,6,-29,No,1,14,5,10,31,3,36,15,9,No,8,N/A,N/A,26,86,12,22,26,33,7,3.00,75,18,1660,32,1,1601,1444
01611760130062,H,American High,Fremont Unified,Alameda,,97,677,673,No,6,4,No,No,No,No,4,No,,,,,,292,Yes,704,692,5,12,Yes,54,No,,,,,,95,No,,,,,,155,Yes,582,563,5,19,Yes,13,No,,,,,,376,Yes,712,714,5,-2,No,203,Yes,533,545,5,-12,No,0,30,6,10,15,1,37,16,14,No,11,N/A,N/A,25,96,8,20,22,36,14,3.27,83,18,1125,17,0,1085,995
01751010130096,H,Foothill High,Pleasanton Unified,Alameda,,99,808,810,No,A,-2,Yes,Yes,Yes,No,16,No,,,,,,140,Yes,887,895,A,-8,Yes,21,No,,,,,,16,No,,,,,,58,No,,,,,,1,No,,,,,,1001,Yes,802,803,A,-1,Yes,27,No,,,,,,1,12,2,1,5,0,79,1,2,No,6,N/A,N/A,28,94,1,4,15,48,32,4.06,97,1,1407,17,5,1376,1253
01612590130146,S,Far West (Cont.),Oakland Unified,Alameda,,81,477,484,No,16,-7,No,Yes,No,No,0,No,,,,,,5,No,,,,,,29,No,,,,,,2,No,,,,,,11,No,,,,,,0,No,,,,,,3,No,,,,,,16,No,,,,,,0,9,62,3,21,0,5,19,21,No,12,N/A,N/A,25,78,22,7,29,33,9,3.00,86,14,74,0,3,58,50
01612590130179,H,Street Academy (Alter),Oakland Unified,Alameda,,94,404,421,No,19,-17,No,No,No,No,4,No,,,,,,3,No,,,,,,60,Yes,415,402,15,13,No,0,No,,,,,,35,No,,,,,,0,No,,,,,,1,No,,,,,,49,Yes,383,403,15,-20,No,4,3,56,0,33,0,2,36,23,No,56,N/A,N/A,23,57,28,25,21,25,1,2.47,71,14,141,0,0,133,105
01611190130229,H,Alameda High,Alameda City Unified,Alameda,,99,730,731,No,3,-1,No,No,No,No,5,No,,,,,,423,Yes,757,749,2,8,Yes,60,No,,,,,,57,No,,,,,,101,No,,,,,,17,No,,,,,,447,Yes,759,760,2,-1,No,190,Yes,666,655,2,11,Yes,1,37,6,5,10,2,39,14,15,No,9,N/A,N/A,26,94,6,15,23,38,18,3.48,88,8,1286,33,4,1242,1116
01612590130245,E,Arts (Alternative),Oakland Unified,Alameda,,97,625,667,No,7,-42,No,Yes,No,No,2,No,,,,,,7,No,,,,,,67,Yes,601,586,6,15,Yes,4,No,,,,,,24,No,,,,,,0,No,,,,,,18,No,,,,,,25,No,,,,,,2,5,55,3,20,0,15,19,12,No,26,18,30,22,47,3,20,18,49,10,3.43,89,11,136,1,3,129,122
01611270130450,H,Albany High,Albany City Unified,Alameda,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01612340130484,H,Crossroads High (Alter.),Newark Unified,Alameda,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01612590130518,S,East Bay Conservation Corps Charter,Oakland Unified,Alameda,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01611760130534,S,The Circle of Independent Learning,Fremont Unified,Alameda,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01751010130583,H,Amador Valley High,Pleasanton Unified,Alameda,,98,806,795,No,1,11,Yes,Yes,Yes,Yes,11,No,,,,,,126,Yes,839,824,A,15,Yes,29,No,,,,,,21,No,,,,,,83,No,,,,,,3,No,,,,,,1055,Yes,815,807,A,8,Yes,50,No,,,,,,1,10,2,2,7,0,79,3,3,No,6,N/A,N/A,27,92,1,7,17,49,25,3.91,99,1,1474,14,16,1425,1331
01613090130849,H,Arroyo High,San Lorenzo Unified,Alameda,,94,656,645,No,8,11,Yes,Yes,Yes,Yes,5,No,,,,,,181,Yes,738,718,6,20,Yes,58,No,,,,,,82,No,,,,,,269,Yes,576,567,6,9,Yes,14,No,,,,,,483,Yes,679,668,6,11,Yes,205,Yes,582,557,6,25,Yes,0,17,6,8,26,1,42,14,7,No,8,N/A,N/A,26,73,10,22,34,28,6,2.98,86,13,1362,32,36,1229,1092
01611430131177,H,Berkeley High,Berkeley Unified,Alameda,,76,724,716,No,4,8,Yes,No,No,No,13,No,,,,,,174,Yes,725,728,3,-3,No,476,Yes,522,516,3,6,Yes,13,No,,,,,,171,Yes,555,588,3,-33,No,54,No,,,,,,639,Yes,893,894,A,-1,Yes,251,Yes,486,496,3,-10,No,1,10,33,1,12,3,40,12,10,No,9,N/A,N/A,25,83,6,9,18,29,39,3.85,86,12,2566,42,13,1927,1542
01612590132092,H,Castlemont Senior High,Oakland Unified,Alameda,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01611500132225,H,Castro Valley High,Castro Valley Unified,Alameda,,97,740,741,No,3,-1,No,No,No,No,13,No,,,,,,293,Yes,842,825,A,17,Yes,40,No,,,,,,34,No,,,,,,146,Yes,652,641,2,11,Yes,13,No,,,,,,944,Yes,728,739,2,-11,No,115,Yes,593,581,2,12,Yes,1,20,3,2,10,1,62,6,5,No,7,N/A,N/A,28,90,2,12,25,41,20,3.65,91,9,1742,25,21,1658,1484
01750930132704,H,Dublin High,Dublin Unified,Alameda,,96,733,701,No,5,32,Yes,Yes,Yes,Yes,12,No,,,,,,86,No,,,,,,27,No,,,,,,32,No,,,,,,90,No,,,,,,10,No,,,,,,470,Yes,762,727,4,35,Yes,58,No,,,,,,2,11,5,4,12,2,63,7,2,No,5,N/A,N/A,26,80,2,11,28,43,16,3.60,83,17,820,0,4,791,729
01611680132746,H,Emery High,Emery Unified,Alameda,,100,455,491,No,15,-36,No,No,No,No,1,No,,,,,,19,No,,,,,,111,Yes,451,487,12,-36,No,1,No,,,,,,18,No,,,,,,4,No,,,,,,4,No,,,,,,53,Yes,426,470,12,-44,No,0,10,75,0,10,2,2,30,6,No,25,N/A,N/A,24,97,8,24,39,26,3,2.90,89,11,198,2,4,205,158
