CDS,STYPE,SMALL,SNAME,DNAME,CNAME,FLAG,VALID_NUM,API02,ST_RANK,SIM_RANK,GR_TARG,API_TARG,AA_NUM,AA_SIG,AA_API,AA_GT,AA_TARG,AI_NUM,AI_SIG,AI_API,AI_GT,AI_TARG,AS_NUM,AS_SIG,AS_API,AS_GT,AS_TARG,FI_NUM,FI_SIG,FI_API,FI_GT,FI_TARG,HI_NUM,HI_SIG,HI_API,HI_GT,HI_TARG,PI_NUM,PI_SIG,PI_API,PI_GT,PI_TARG,WH_NUM,WH_SIG,WH_API,WH_GT,WH_TARG,SD_NUM,SD_SIG,SD_API,SD_GT,SD_TARG,PCT_AA,PCT_AI,PCT_AS,PCT_FI,PCT_HI,PCT_PI,PCT_WH,MEALS,EL,YR_RND,SMOB,DMOB,ACS_K3,ACS_46,ACS_CORE,PCT_RESP,NOT_HSG,HSG,SOME_COL,COL_GRAD,GRAD_SCH,AVG_ED,FULL,EMER,ENROLL,IEP,PARENT_OPT,TESTED,SCI
01100170130401,H,S,Juvenile Hall/Court,Alameda Co. Office of Educatio,Alameda,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01100170130419,H,S,County Community,Alameda Co. Office of Educatio,Alameda,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01100170130427,H,S,Alternative/Opportunity,Alameda Co. Office of Educatio,Alameda,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01316090131755,H,S,Calif School for the Blind,Calif. School for the Blind,Alameda,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01316170131763,H,S,Calif School for the Deaf,Calif. School for the Deaf,Alameda,,78,558,2,N/A,12,570,7,No,,,,3,No,,,,5,No,,,,0,No,,,,9,No,,,,0,No,,,,54,Yes,575,10,585,0,No,,,,16,3,7,3,27,1,43,0,100,No,2,3,N/A,5,7,0,N/A,N/A,N/A,N/A,N/A,N/A,94,6,366,288,0,78,
01611190130229,H,,Alameda High,Alameda City Unified,Alameda,,1166,733,9,2,3,736,71,No,,,,5,No,,,,440,Yes,772,2,774,57,No,,,,107,Yes,619,2,621,9,No,,,,456,Yes,748,2,750,194,Yes,695,2,697,7,0,37,5,9,1,39,13,14,No,9,3,N/A,N/A,26,83,6,14,21,36,23,3.55,92,4,1329,8,1,1207,169.261828
01611190130609,H,,Anderson Community Learning,Alameda City Unified,Alameda,,120,757,9,8,2,759,20,No,,,,0,No,,,,18,No,,,,3,No,,,,10,No,,,,1,No,,,,67,Yes,788,2,790,17,No,,,,16,1,15,2,8,1,56,12,1,No,14,1,N/A,N/A,N/A,93,3,7,21,33,36,3.90,100,0,124,0,3,121,166.294138
01611190130625,H,S,Bay Area School,Alameda City Unified,Alameda,,31,494,1,N/A,15,509,6,No,,,,1,No,,,,2,No,,,,4,No,,,,4,No,,,,3,No,,,,10,No,,,,6,No,,,,19,3,6,13,13,10,32,19,0,No,100,0,N/A,N/A,N/A,84,4,8,27,50,12,3.58,33,67,N/A,0,0,31,
01611190132878,H,,Encinal High,Alameda City Unified,Alameda,,792,606,4,4,10,616,189,Yes,536,8,544,7,No,,,,170,Yes,623,8,631,144,Yes,634,8,642,109,Yes,569,8,577,10,No,,,,158,Yes,673,8,681,302,Yes,571,8,579,25,1,21,17,14,1,20,34,22,No,11,7,N/A,N/A,25,82,11,25,31,28,6,2.94,86,14,909,0,12,850,152.229525
01611190134304,H,S,Island High  (Cont.),Alameda City Unified,Alameda,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01611196000004,M,,Chipman Middle,Alameda City Unified,Alameda,,532,634,4,6,8,642,165,Yes,567,6,573,9,No,,,,105,Yes,678,6,684,60,No,,,,72,No,,,,7,No,,,,114,Yes,717,6,723,297,Yes,581,6,587,31,2,19,12,13,1,22,55,24,No,18,7,N/A,25,25,97,11,25,33,23,8,2.92,92,23,577,0,1,569,154.525044
01611196090005,E,,Lum (Donald D.) Elementary,Alameda City Unified,Alameda,,313,781,8,7,1,782,24,No,,,,0,No,,,,117,Yes,813,A,A,25,No,,,,35,No,,,,7,No,,,,72,Yes,756,1,757,100,Yes,734,1,735,8,0,37,7,12,2,23,32,27,No,17,6,N/A,N/A,N/A,75,2,23,26,34,15,3.36,100,0,339,5,0,334,170.951430
01611196090013,E,,Edison Elementary,Alameda City Unified,Alameda,,233,850,10,5,A,A,7,No,,,,2,No,,,,29,No,,,,9,No,,,,24,No,,,,5,No,,,,152,Yes,869,A,A,31,No,,,,3,1,12,5,12,2,64,14,10,No,8,1,N/A,N/A,N/A,95,1,10,27,28,34,3.84,88,12,244,6,1,236,180.947135
01611196090021,E,,Otis (Frank) Elementary,Alameda City Unified,Alameda,,258,789,8,3,1,790,18,No,,,,3,No,,,,68,Yes,801,A,A,21,No,,,,27,No,,,,4,No,,,,116,Yes,804,A,A,64,Yes,700,1,701,8,1,26,9,10,2,44,24,25,No,17,4,N/A,N/A,N/A,99,7,14,27,30,22,3.47,96,0,279,5,0,270,175.268446
01611196090039,E,,Franklin Elementary,Alameda City Unified,Alameda,,143,812,9,8,A,A,8,No,,,,2,No,,,,15,No,,,,7,No,,,,12,No,,,,0,No,,,,86,Yes,850,A,A,38,Yes,727,1,728,6,3,11,6,9,1,56,27,12,No,13,8,N/A,N/A,N/A,95,1,20,22,31,26,3.60,100,0,155,0,1,154,173.780186
01611196090047,E,,Haight Elementary,Alameda City Unified,Alameda,,359,726,6,7,4,730,50,No,,,,3,No,,,,85,Yes,789,3,792,37,No,,,,68,Yes,645,3,648,6,No,,,,88,Yes,759,3,762,168,Yes,677,3,680,15,1,22,10,19,2,24,46,33,No,18,5,N/A,N/A,N/A,90,6,28,34,24,8,2.99,100,0,387,5,3,379,164.481277
01611196090054,M,,Lincoln Middle,Alameda City Unified,Alameda,,844,792,9,2,1,793,30,No,,,,4,No,,,,332,Yes,844,A,A,46,No,,,,83,No,,,,5,No,,,,336,Yes,798,1,799,109,Yes,715,1,716,4,0,39,5,10,1,40,12,12,No,13,2,N/A,27,28,95,3,10,23,33,31,3.79,89,16,885,18,1,863,177.724230
