CDS,RTYPE,STYPE,SNAME,DNAME,CNAME,FLAG,VALID_NUM,API03,ST_RANK,SIM_RANK,GR_TARG,API_TARG,AA_NUM,AA_SIG,AA_API,AA_GT,AA_TARG,AI_NUM,AI_SIG,AI_API,AI_GT,AI_TARG,AS_NUM,AS_SIG,AS_API,AS_GT,AS_TARG,FI_NUM,FI_SIG,FI_API,FI_GT,FI_TARG,HI_NUM,HI_SIG,HI_API,HI_GT,HI_TARG,PI_NUM,PI_SIG,PI_API,PI_GT,PI_TARG,WH_NUM,WH_SIG,WH_API,WH_GT,WH_TARG,SD_NUM,SD_SIG,SD_API,SD_GT,SD_TARG,PCT_AA,PCT_AI,PCT_AS,PCT_FI,PCT_HI,PCT_PI,PCT_WH,MEALS,EL,YR_RND,SMOB,DMOB,ACS_K3,ACS_46,ACS_CORE,PCT_RESP,NOT_HSG,HSG,SOME_COL,COL_GRAD,GRAD_SCH,AVG_ED,FULL,EMER,ENROLL,CAPAM,PARENT_OPT,TESTED,CAPAT,CBMOB,SCI
01100170000000,D,,,Alameda Co. Office of Educatio,Alameda,,53,338,B,B,B,B,21,No,,,,0,No,,,,3,No,,,,4,No,,,,18,No,,,,2,No,,,,3,No,,,,50,Yes,323,,,,,,,,,,,,,,,,,,,,,,,,,,,402,0,4,369,0,,
01100170130401,A,S,Juvenile Hall/Court,Alameda Co. Office of Educatio,Alameda,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01100170130419,A,S,County Community,Alameda Co. Office of Educatio,Alameda,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01100170130427,A,S,Alternative/Opportunity,Alameda Co. Office of Educatio,Alameda,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01316090131755,S,S,Calif School for the Blind,Calif. School for the Blind,Alameda,,38,492,1,N/A,15,507,0,No,,,,0,No,,,,0,No,,,,0,No,,,,0,No,,,,0,No,,,,20,No,,,,0,No,,,,11,0,16,3,16,0,53,0,0,No,16,97,N/A,N/A,N/A,18,0,14,29,14,43,3.86,92,4,38,30,0,8,30,97,
01316170131763,S,H,Calif School for the Deaf,Calif. School for the Deaf,Alameda,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01611190000000,D,,,Alameda City Unified,Alameda,,7641,755,B,B,B,B,1050,Yes,622,,,56,No,,,,2201,Yes,816,,,710,Yes,733,,,807,Yes,656,,,78,No,,,,2446,Yes,796,,,2429,Yes,678,,,,,,,,,,,,,,,,,,,,,,,,,,,8166,79,45,7918,81,,
01611190130229,S,H,Alameda High,Alameda City Unified,Alameda,,1247,733,8,2,3,736,90,No,,,,6,No,,,,472,Yes,781,2,783,61,No,,,,129,Yes,641,2,643,9,No,,,,456,Yes,740,2,742,215,Yes,665,2,667,8,0,37,5,11,1,36,15,18,No,9,96,N/A,N/A,25,85,6,15,22,33,24,3.55,85,9,1338,20,5,1279,18,95,168.388672
01611190130609,S,H,Andersen Community Learning,Alameda City Unified,Alameda,,130,813,10,10,A,A,20,No,,,,1,No,,,,18,No,,,,3,No,,,,5,No,,,,0,No,,,,80,Yes,837,A,A,20,No,,,,16,1,13,2,4,0,60,13,3,No,25,98,N/A,N/A,11,98,4,5,34,27,30,3.73,100,29,134,0,0,133,0,97,165.527662
01611190130625,S,S,Bay Area School,Alameda City Unified,Alameda,,41,529,1,N/A,14,543,12,No,,,,2,No,,,,1,No,,,,3,No,,,,7,No,,,,2,No,,,,13,No,,,,3,No,,,,30,5,2,7,18,7,30,9,0,No,95,98,N/A,N/A,11,80,0,14,37,34,14,3.49,25,75,44,0,2,42,0,95,
01611190132878,S,H,Encinal High,Alameda City Unified,Alameda,,810,642,5,6,8,650,187,Yes,570,6,576,4,No,,,,178,Yes,691,6,697,141,Yes,647,6,653,121,Yes,578,6,584,6,No,,,,163,Yes,713,6,719,322,Yes,601,6,607,24,1,21,17,15,1,20,36,22,No,12,93,N/A,N/A,24,92,12,24,32,25,7,2.92,88,11,906,9,3,847,8,93,153.858767
01611190134304,A,S,Island High  (Cont.),Alameda City Unified,Alameda,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01611196000004,S,M,Chipman Middle,Alameda City Unified,Alameda,,684,650,4,6,8,658,224,Yes,568,6,574,7,No,,,,110,Yes,714,6,720,89,No,,,,79,No,,,,10,No,,,,145,Yes,728,6,734,382,Yes,608,6,614,33,1,16,13,12,1,21,52,23,No,33,94,N/A,26,27,91,13,25,35,20,8,2.86,100,20,732,0,0,722,0,94,156.992496
01611196090005,S,E,Lum (Donald D.) Elementary,Alameda City Unified,Alameda,,324,812,8,8,A,A,39,No,,,,0,No,,,,119,Yes,848,A,A,27,No,,,,34,No,,,,3,No,,,,63,Yes,825,A,A,106,Yes,766,1,767,12,0,37,8,10,1,20,30,28,No,24,93,20,29,N/A,83,4,18,26,37,15,3.40,100,0,350,8,3,338,8,93,175.416990
01611196090013,S,E,Edison Elementary,Alameda City Unified,Alameda,,245,871,10,8,A,A,14,No,,,,2,No,,,,34,No,,,,5,No,,,,26,No,,,,3,No,,,,150,Yes,890,A,A,34,No,,,,6,1,14,2,11,1,61,12,10,No,10,99,20,30,N/A,100,2,8,30,31,30,3.80,95,5,250,7,1,242,6,98,181.276100
01611196090021,S,E,Otis (Frank) Elementary,Alameda City Unified,Alameda,,267,827,9,5,A,A,22,No,,,,3,No,,,,72,Yes,816,A,A,21,No,,,,24,No,,,,4,No,,,,121,Yes,850,A,A,62,Yes,758,1,759,8,1,27,8,9,1,45,22,27,No,13,98,20,29,N/A,100,5,14,26,33,22,3.52,91,0,274,8,0,266,8,97,179.399850
01611196090039,S,E,Franklin Elementary,Alameda City Unified,Alameda,,156,827,9,6,A,A,8,No,,,,2,No,,,,18,No,,,,11,No,,,,11,No,,,,2,No,,,,92,Yes,863,A,A,46,Yes,744,1,745,6,2,12,7,7,1,58,30,13,No,11,95,20,26,N/A,98,3,10,25,36,25,3.70,100,0,165,0,2,162,0,95,177.799601
01611196090047,S,E,Haight Elementary,Alameda City Unified,Alameda,,352,745,6,6,3,748,48,No,,,,2,No,,,,87,Yes,800,A,A,35,No,,,,65,Yes,659,2,661,4,No,,,,79,Yes,813,A,A,181,Yes,710,2,712,14,1,24,10,19,1,22,49,36,No,20,94,20,30,N/A,89,10,26,36,24,3,2.84,93,4,376,3,3,370,3,94,168.084003
01611196090054,S,M,Lincoln Middle,Alameda City Unified,Alameda,,856,815,9,3,A,A,38,No,,,,6,No,,,,330,Yes,857,A,A,50,No,,,,72,No,,,,7,No,,,,341,Yes,827,A,A,125,Yes,732,1,733,5,1,38,6,9,1,39,14,13,No,12,97,N/A,28,27,97,2,12,23,35,28,3.75,95,15,889,3,4,880,3,97,178.473929
