CDS,RTYPE,STYPE,SNAME,DNAME,CNAME,FLAG,PCT_TEST,API03,API02,TARGET,GROWTH,SCH_WIDE,COMP_IMP,BOTH,AWARDS,AA_NUM,AA_SIG,AA_API03,AA_API02,AA_TARG,AA_GROW,AA_MET,AI_NUM,AI_SIG,AI_API03,AI_API02,AI_TARG,AI_GROW,AI_MET,AS_NUM,AS_SIG,AS_API03,AS_API02,AS_TARG,AS_GROW,AS_MET,FI_NUM,FI_SIG,FI_API03,FI_API02,FI_TARG,FI_GROW,FI_MET,HI_NUM,HI_SIG,HI_API03,HI_API02,HI_TARG,HI_GROW,HI_MET,PI_NUM,PI_SIG,PI_API03,PI_API02,PI_TARG,PI_GROW,PI_MET,WH_NUM,WH_SIG,WH_API03,WH_API02,WH_TARG,WH_GROW,WH_MET,SD_NUM,SD_SIG,SD_API03,SD_API02,SD_TARG,SD_GROW,SD_MET,PCT_AA,PCT_AI,PCT_AS,PCT_FI,PCT_HI,PCT_PI,PCT_WH,MEALS,EL,YR_RND,SMOB,DMOB,ACS_K3,ACS_46,ACS_CORE,PCT_RESP,NOT_HSG,HSG,SOME_COL,COL_GRAD,GRAD_SCH,AVG_ED,FULL,EMER,ENROLL,IEP,PARENT_OPT,TESTED,API_STU,MEDIAN03,MEDIAN02,CBMOB
01100170000000,D,,,Alameda Co. Office of Educatio,Alameda,,92,374,416,E,-42,,,,,20,No,,,,,,0,No,,,,,,2,No,,,,,,1,No,,,,,,18,No,,,,,,0,No,,,,,,3,No,,,,,,48,Yes,360,416,,-56,,,,,,,,,,,,,,,,,,,,,,,,,,402,0,4,369,51,,,
01100170130401,A,H,Juvenile Hall/Court,Alameda Co. Office of Educatio,Alameda,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01100170130419,A,H,County Community,Alameda Co. Office of Educatio,Alameda,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01100170130427,A,H,Alternative/Opportunity,Alameda Co. Office of Educatio,Alameda,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01316090131755,S,S,Calif School for the Blind,Calif. School for the Blind,Alameda,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01316170131763,S,S,Calif School for the Deaf,Calif. School for the Deaf,Alameda,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01611190000000,D,,,Alameda City Unified,Alameda,,98,755,733,E,22,,,,,1014,Yes,626,601,,25,,56,No,,,,,,2189,Yes,808,789,,19,,702,Yes,733,719,,14,,796,Yes,659,635,,24,,77,No,,,,,,2409,Yes,796,776,,20,,2384,Yes,679,649,,30,,,,,,,,,,,,,,,,,,,,,,,,,,8166,79,45,7917,7535,,,
01611190130229,S,H,Alameda High,Alameda City Unified,Alameda,,97,729,733,3,-4,No,No,No,No,82,No,,,,,,6,No,,,,,,470,Yes,767,772,2,-5,No,59,No,,,,,,126,Yes,640,619,2,21,Yes,9,No,,,,,,449,Yes,738,748,2,-10,No,208,Yes,660,695,2,-35,No,8,0,37,5,11,1,36,15,18,No,9,96,N/A,N/A,25,85,6,15,22,33,24,3.55,85,9,1338,20,5,1279,1225,780,770,95
01611190130609,S,H,Andersen Community Learning,Alameda City Unified,Alameda,,99,800,757,2,43,Yes,Yes,Yes,Yes,20,No,,,,,,1,No,,,,,,18,No,,,,,,3,No,,,,,,5,No,,,,,,0,No,,,,,,80,Yes,824,788,2,36,Yes,20,No,,,,,,16,1,13,2,4,0,60,13,3,No,25,98,N/A,N/A,11,98,4,5,34,27,30,3.73,100,29,134,0,0,133,130,755,735,97
01611190130625,S,S,Bay Area School,Alameda City Unified,Alameda,,100,531,494,15,37,Yes,Yes,Yes,Yes,12,No,,,,,,2,No,,,,,,0,No,,,,,,3,No,,,,,,7,No,,,,,,2,No,,,,,,13,No,,,,,,3,No,,,,,,30,5,2,7,18,7,30,9,0,No,95,98,N/A,N/A,11,80,0,14,37,34,14,3.49,25,75,44,0,2,42,41,,,95
01611190132878,S,H,Encinal High,Alameda City Unified,Alameda,,94,651,606,10,45,Yes,Yes,Yes,Yes,181,Yes,580,536,8,44,Yes,4,No,,,,,,176,Yes,689,623,8,66,Yes,140,Yes,656,634,8,22,Yes,120,Yes,587,569,8,18,Yes,6,No,,,,,,159,Yes,721,673,8,48,Yes,313,Yes,610,571,8,39,Yes,24,1,21,17,15,1,20,36,22,No,12,93,N/A,N/A,24,92,12,24,32,25,7,2.92,88,11,906,9,3,847,796,648,620,93
01611190134304,A,H,Island High  (Cont.),Alameda City Unified,Alameda,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01611196000004,S,M,Chipman Middle,Alameda City Unified,Alameda,,98,647,634,8,13,Yes,No,No,No,221,Yes,568,567,6,1,No,7,No,,,,,,110,Yes,707,678,6,29,Yes,89,No,,,,,,77,No,,,,,,10,No,,,,,,145,Yes,722,717,6,5,No,378,Yes,607,581,6,26,Yes,33,1,16,13,12,1,21,52,23,No,33,94,N/A,26,27,91,13,25,35,20,8,2.86,100,20,732,0,0,722,679,653,631,94
01611196090005,S,E,Lum (Donald D.) Elementary,Alameda City Unified,Alameda,,99,807,781,1,26,Yes,Yes,Yes,Yes,33,No,,,,,,0,No,,,,,,118,Yes,842,813,A,29,Yes,27,No,,,,,,34,No,,,,,,3,No,,,,,,61,Yes,818,756,1,62,Yes,100,Yes,759,734,1,25,Yes,12,0,37,8,10,1,20,30,28,No,24,93,20,29,N/A,83,4,18,26,37,15,3.40,100,0,350,8,3,338,315,789,767,93
01611196090013,S,E,Edison Elementary,Alameda City Unified,Alameda,,100,872,850,A,22,Yes,Yes,Yes,Yes,12,No,,,,,,2,No,,,,,,34,No,,,,,,5,No,,,,,,25,No,,,,,,3,No,,,,,,147,Yes,889,869,A,20,Yes,32,No,,,,,,6,1,14,2,11,1,61,12,10,No,10,99,20,30,N/A,100,2,8,30,31,30,3.80,95,5,250,7,1,242,239,870,853,98
01611196090021,S,E,Otis (Frank) Elementary,Alameda City Unified,Alameda,,100,820,789,1,31,Yes,Yes,Yes,Yes,21,No,,,,,,3,No,,,,,,72,Yes,811,801,A,10,Yes,20,No,,,,,,24,No,,,,,,4,No,,,,,,116,Yes,844,804,A,40,Yes,62,Yes,758,700,1,58,Yes,8,1,27,8,9,1,45,22,27,No,13,98,20,29,N/A,100,5,14,26,33,22,3.52,91,0,274,8,0,266,260,825,808,97
01611196090039,S,E,Franklin Elementary,Alameda City Unified,Alameda,,99,825,812,A,13,Yes,Yes,Yes,Yes,8,No,,,,,,2,No,,,,,,18,No,,,,,,11,No,,,,,,11,No,,,,,,2,No,,,,,,90,Yes,862,850,A,12,Yes,46,Yes,740,727,1,13,Yes,6,2,12,7,7,1,58,30,13,No,11,95,20,26,N/A,98,3,10,25,36,25,3.70,100,0,165,0,2,162,154,814,797,95
01611196090047,S,E,Haight Elementary,Alameda City Unified,Alameda,,100,745,726,4,19,Yes,Yes,Yes,Yes,48,No,,,,,,2,No,,,,,,86,Yes,793,789,3,4,Yes,35,No,,,,,,64,Yes,655,645,3,10,Yes,4,No,,,,,,78,Yes,812,759,3,53,Yes,179,Yes,711,677,3,34,Yes,14,1,24,10,19,1,22,49,36,No,20,94,20,30,N/A,89,10,26,36,24,3,2.84,93,4,376,3,3,370,349,746,716,94
01611196090054,S,M,Lincoln Middle,Alameda City Unified,Alameda,,99,813,792,1,21,Yes,Yes,Yes,B,38,No,,,,,,6,No,,,,,,330,Yes,853,844,A,9,Yes,50,No,,,,,,72,No,,,,,,7,No,,,,,,338,Yes,824,798,1,26,Yes,125,Yes,734,715,1,19,Yes,5,1,38,6,9,1,39,14,13,No,12,97,N/A,28,27,97,2,12,23,35,28,3.75,95,15,889,3,4,880,853,844,832,97
01611196090062,S,E,Longfellow Elementary,Alameda City Unified,Alameda,,99,716,678,6,38,Yes,Yes,Yes,Yes,83,Yes,680,625,5,55,Yes,1,No,,,,,,28,No,,,,,,51,Yes,765,728,5,37,Yes,19,No,,,,,,3,No,,,,,,9,No,,,,,,137,Yes,704,648,5,56,Yes,44,0,15,23,10,1,6,65,37,No,29,87,19,31,N/A,99,11,22,37,27,3,2.88,94,6,226,2,1,221,194,710,675,86
