CDS,RTYPE,STYPE,SNAME,DNAME,CNAME,FLAG,PCT_TEST,VALID,API04,API03,TARGET,GROWTH,SCH_WIDE,COMP_IMP,BOTH,AWARDS,AA_NUM,AA_SIG,AA_API04,AA_API03,AA_TARG,AA_GROW,AA_MET,AI_NUM,AI_SIG,AI_API04,AI_API03,AI_TARG,AI_GROW,AI_MET,AS_NUM,AS_SIG,AS_API04,AS_API03,AS_TARG,AS_GROW,AS_MET,FI_NUM,FI_SIG,FI_API04,FI_API03,FI_TARG,FI_GROW,FI_MET,HI_NUM,HI_SIG,HI_API04,HI_API03,HI_TARG,HI_GROW,HI_MET,PI_NUM,PI_SIG,PI_API04,PI_API03,PI_TARG,PI_GROW,PI_MET,WH_NUM,WH_SIG,WH_API04,WH_API04,WH_TARG,WH_GROW,WH_MET,SD_NUM,SD_SIG,SD_API04,SD_API03,SD_TARG,SD_GROW,SD_MET,PCT_AA,PCT_AI,PCT_AS,PCT_FI,PCT_HI,PCT_PI,PCT_WH,MEALS,EL,YR_RND,SMOB,CBMOB,DMOB,ACS_K3,ACS_46,ACS_CORE,PCT_RESP,NOT_HSG,HSG,SOME_COL,COL_GRAD,GRAD_SCH,AVG_ED,FULL,EMER,ENROLL,CAPA,PARENT_OPT,TESTED,MEDIAN04,MEDIAN03
01100170000000,D,1,,Alameda Co. Office of Educatio,Alameda,,84,59,372,338,E,34,,,,,23,No,,,,,,1,No,,,,,,2,No,,,,,,0,No,,,,,,28,No,,,,,,0,No,,,,,,1,No,,,,,,52,Yes,376,323,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,515,0,23,417,,
01100170130401,B,H,Juvenile Hall/Court,Alameda Co. Office of Educatio,Alameda,,90,17,324,C,E,,,,,,9,No,,,,,,1,No,,,,,,2,No,,,,,,0,No,,,,,,2,No,,,,,,0,No,,,,,,1,No,,,,,,16,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238,0,0,216,,
01100170130419,B,H,County Community,Alameda Co. Office of Educatio,Alameda,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01100170130427,B,H,Alternative/Opportunity,Alameda Co. Office of Educatio,Alameda,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01316090131755,M,H,Calif School for the Blind,Calif. School for the Blind,Alameda,,86,35,428,492,15,-64,No,Yes,No,No,4,No,,,,,,0,No,,,,,,3,No,,,,,,0,No,,,,,,0,No,,,,,,0,No,,,,,,13,No,,,,,,35,No,428,,,,,16,0,16,2,24,2,40,100,2,No,33,84,82,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,93,4,45,22,0,20,,
01316170131763,S,H,Calif School for the Deaf,Calif. School for the Deaf,Alameda,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01611190000000,D,1,,Alameda City Unified,Alameda,,98,7740,765,755,E,10,,,,,1100,Yes,629,622,,7,,68,No,,,,,,2256,Yes,824,816,,8,,726,Yes,747,733,,14,,852,Yes,667,656,,11,,91,No,,,,,,2412,Yes,812,796,,16,,2983,Yes,683,678,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,8168,90,22,7971,,
01611190130229,S,H,Alameda High,Alameda City Unified,Alameda,,98,1309,734,733,3,1,No,No,No,No,97,No,,,,,,5,No,,,,,,540,Yes,789,781,2,8,Yes,66,No,,,,,,142,Yes,619,641,2,-22,No,15,No,,,,,,429,Yes,745,740,2,5,Yes,306,Yes,650,665,2,-15,No,7,0,41,5,11,1,33,21,19,No,11,95,97,N/A,N/A,27,89,7,17,24,30,23,3.46,94,2,1377,9,5,1343,768,763
01611190130609,S,H,Alameda Community Learning Center,Alameda City Unified,Alameda,,100,137,834,813,A,21,Yes,Yes,Yes,Yes,18,No,,,,,,0,No,,,,,,14,No,,,,,,6,No,,,,,,9,No,,,,,,0,No,,,,,,86,Yes,864,837,A,27,Yes,21,No,,,,,,13,0,10,4,6,0,63,15,3,No,16,98,99,N/A,N/A,23,94,2,5,34,30,31,3.83,94,6,139,0,1,138,742,729
01611190130625,M,H,Bay Area School of Enterprise,Alameda City Unified,Alameda,,100,57,599,529,14,70,Yes,Yes,Yes,Yes,6,No,,,,,,2,No,,,,,,0,No,,,,,,2,No,,,,,,20,No,,,,,,1,No,,,,,,10,No,,,,,,24,No,,,,,,13,3,0,3,33,3,17,38,3,No,21,95,97,N/A,N/A,17,68,17,15,39,17,12,2.93,40,60,60,0,1,59,,
01611190132878,S,H,Encinal High,Alameda City Unified,Alameda,,96,838,665,642,8,23,Yes,No,No,No,226,Yes,575,570,6,5,No,9,No,,,,,,165,Yes,709,691,6,18,Yes,134,Yes,691,647,6,44,Yes,126,Yes,625,578,6,47,Yes,7,No,,,,,,169,Yes,749,713,6,36,Yes,447,Yes,630,601,6,29,Yes,28,1,20,15,15,1,20,49,23,No,15,92,94,N/A,N/A,27,93,11,24,34,23,8,2.91,90,14,925,7,2,883,659,641
01611190134304,B,H,Island High  (Cont.),Alameda City Unified,Alameda,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01611196000004,S,M,Chipman Middle,Alameda City Unified,Alameda,,99,648,678,650,8,28,Yes,No,No,No,200,Yes,606,568,6,38,Yes,8,No,,,,,,112,Yes,761,714,6,47,Yes,98,No,719,,,,,87,No,,,,,,10,No,,,,,,118,Yes,731,728,6,3,No,450,Yes,637,608,6,29,Yes,31,1,17,14,14,2,18,65,25,No,24,91,93,N/A,29,25,95,13,27,31,21,7,2.82,94,6,705,0,1,700,660,647
01611196090005,S,E,Lum (Donald D.) Elementary,Alameda City Unified,Alameda,,100,323,812,812,A,0,Yes,Yes,Yes,No,39,No,,,,,,1,No,,,,,,107,Yes,849,848,A,1,Yes,35,No,,,,,,36,No,,,,,,7,No,,,,,,95,Yes,855,825,A,30,Yes,117,Yes,777,766,1,11,Yes,13,1,32,11,11,2,29,33,21,No,23,95,96,20,29,N/A,84,4,16,27,42,11,3.40,97,3,340,1,2,337,801,797
